 # Pressure Initial   1.6052041603631845E+031
 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  5.000000000000000E+02   0.000000000000000E+00   1.600000000000000E+13   1.605204160363184E+31
  0.000000000000000E+00   2.513274122871834E+22   1.600000000000000E+13   1.605204160363184E+31
  5.000000000000000E+02   3.769907439554208E+22   1.599991159080065E+13   1.605194201441339E+31
  1.000000000000000E+03   9.634175047996718E+22   1.599988553444914E+13   1.605191266303703E+31
  1.500000000000000E+03   2.555145028531749E+23   1.599986094771179E+13   1.605188496711879E+31
  2.000000000000000E+03   5.654819725105272E+23   1.599983072070309E+13   1.605185091767376E+31
  2.500000000000000E+03   1.076508349423923E+24   1.599979345237721E+13   1.605180893648318E+31
  3.000000000000000E+03   1.838857222467317E+24   1.599974867708848E+13   1.605175849901689E+31
  3.500000000000000E+03   2.902791429170477E+24   1.599969619553081E+13   1.605169938076505E+31
  4.000000000000000E+03   4.318572905462590E+24   1.599963590812652E+13   1.605163146955762E+31
  4.500000000000000E+03   6.136462535410087E+24   1.599956775968087E+13   1.605155470322004E+31
  5.000000000000000E+03   8.406720000994361E+24   1.599949171730153E+13   1.605146904470052E+31
  5.500000000000000E+03   1.117960363184495E+25   1.599940775991151E+13   1.605137447025671E+31
  6.000000000000000E+03   1.450537025503131E+25   1.599931587371431E+13   1.605127096434743E+31
  6.500000000000000E+03   1.843427504482331E+25   1.599921604912347E+13   1.605115851617396E+31
  7.000000000000000E+03   2.301657137246717E+25   1.599910827941710E+13   1.605103711816436E+31
  7.500000000000000E+03   2.830251065602308E+25   1.599899255981817E+13   1.605090676493751E+31
  8.000000000000000E+03   3.434234221012717E+25   1.599886888670116E+13   1.605076745240942E+31
  8.500000000000000E+03   4.118631309587119E+25   1.599873725755990E+13   1.605061917775698E+31
  9.000000000000000E+03   4.888466797060775E+25   1.599859767034981E+13   1.605046193867709E+31
  9.500000000000000E+03   5.748764893780950E+25   1.599845012370511E+13   1.605029573363122E+31
  1.000000000000000E+04   6.704549539693413E+25   1.599829461644691E+13   1.605012056129143E+31
  1.050000000000000E+04   7.760844389323670E+25   1.599813114761751E+13   1.604993642057889E+31
  1.100000000000000E+04   8.922672796767422E+25   1.599795971686900E+13   1.604974331110171E+31
  1.150000000000000E+04   1.019505780069772E+26   1.599778032376768E+13   1.604954123237133E+31
  1.200000000000000E+04   1.158302210934990E+26   1.599759296814599E+13   1.604933018419901E+31
  1.250000000000000E+04   1.309158808550417E+26   1.599739764977721E+13   1.604911016632936E+31
  1.300000000000000E+04   1.472577773149990E+26   1.599719436872197E+13   1.604888117883067E+31
  1.350000000000000E+04   1.649061267423618E+26   1.599698312520750E+13   1.604864322195891E+31
  1.400000000000000E+04   1.839111415015143E+26   1.599676391896893E+13   1.604839629541572E+31
  1.450000000000000E+04   2.043230299024253E+26   1.599653675066752E+13   1.604814039994599E+31
  1.500000000000000E+04   2.261919960508801E+26   1.599630162044371E+13   1.604787553570789E+31
  1.550000000000000E+04   2.495682396984493E+26   1.599605852879727E+13   1.604760170326440E+31
  1.600000000000000E+04   2.745019560924611E+26   1.599580747570415E+13   1.604731890258845E+31
  1.650000000000000E+04   3.010433358261179E+26   1.599554846209563E+13   1.604702713472907E+31
  1.700000000000000E+04   3.292425646892221E+26   1.599528148818552E+13   1.604672639992711E+31
  1.750000000000000E+04   3.591498235175218E+26   1.599500655429272E+13   1.604641669854179E+31
  1.800000000000000E+04   3.908152880433417E+26   1.599472366122615E+13   1.604609803148434E+31
  1.850000000000000E+04   4.242891287462235E+26   1.599443280946036E+13   1.604577039928931E+31
  1.900000000000000E+04   4.596215107026866E+26   1.599413399949171E+13   1.604543380251582E+31
  1.950000000000000E+04   4.968625934365139E+26   1.599382723204445E+13   1.604508824197973E+31
  2.000000000000000E+04   5.360625307697844E+26   1.599351250798165E+13   1.604473371865324E+31
  2.050000000000000E+04   5.772714706725616E+26   1.599318982767223E+13   1.604437023295192E+31
  2.100000000000000E+04   6.205395551132720E+26   1.599285919159303E+13   1.604399778541291E+31
  2.150000000000000E+04   6.659169199097225E+26   1.599252060124862E+13   1.604361637773106E+31
  2.200000000000000E+04   7.134536945799942E+26   1.599217405683540E+13   1.604322601012757E+31
  2.250000000000000E+04   7.632000021913501E+26   1.599181955924460E+13   1.604282668360641E+31
  2.300000000000000E+04   8.152059592120925E+26   1.599145710927630E+13   1.604241839906882E+31
  2.350000000000000E+04   8.695216753614229E+26   1.599108670763089E+13   1.604200115730376E+31
  2.400000000000000E+04   9.261972534604847E+26   1.599070835514799E+13   1.604157495925703E+31
  2.450000000000000E+04   9.852827892844005E+26   1.599032205320065E+13   1.604113980647531E+31
  2.500000000000000E+04   1.046828371410331E+27   1.598992780177465E+13   1.604069569894258E+31
  2.550000000000000E+04   1.110884081068519E+27   1.598952560216126E+13   1.604024263811341E+31
  2.600000000000000E+04   1.177499991996777E+27   1.598911545582926E+13   1.603978062564231E+31
  2.650000000000000E+04   1.246726170288306E+27   1.598869736332895E+13   1.603930966214917E+31
  2.700000000000000E+04   1.318612674241936E+27   1.598827132534772E+13   1.603882974840830E+31
  2.750000000000000E+04   1.393209554215508E+27   1.598783734358874E+13   1.603834088633827E+31
  2.800000000000000E+04   1.470566852473512E+27   1.598739541805336E+13   1.603784307594057E+31
  2.850000000000000E+04   1.550734603042333E+27   1.598694555064666E+13   1.603733631936123E+31
  2.900000000000000E+04   1.633762831558526E+27   1.598648774228313E+13   1.603682061763035E+31
  2.950000000000000E+04   1.719701555122377E+27   1.598602199419426E+13   1.603629597213516E+31
  3.000000000000000E+04   1.808600782144960E+27   1.598554830653574E+13   1.603576238305105E+31
  3.050000000000000E+04   1.900510512202758E+27   1.598506668168198E+13   1.603521985305268E+31
  3.100000000000000E+04   1.995480735889898E+27   1.598457712013316E+13   1.603466838270349E+31
  3.150000000000000E+04   2.093561434665935E+27   1.598407962304034E+13   1.603410797330010E+31
  3.200000000000000E+04   2.194802580709011E+27   1.598357419140436E+13   1.603353862596990E+31
  3.250000000000000E+04   2.299254136763987E+27   1.598306082624294E+13   1.603296034185933E+31
  3.300000000000000E+04   2.406966056001527E+27   1.598253952909679E+13   1.603237312270392E+31
  3.350000000000000E+04   2.517988281861989E+27   1.598201030120015E+13   1.603177696989400E+31
  3.400000000000000E+04   2.632370747915238E+27   1.598147314397579E+13   1.603117188503225E+31
  3.450000000000000E+04   2.750163377703986E+27   1.598092805815292E+13   1.603055786894009E+31
  3.500000000000000E+04   2.871416084600466E+27   1.598037504574433E+13   1.602993492388486E+31
  3.550000000000000E+04   2.996178771656869E+27   1.597981410750689E+13   1.602930305071912E+31
  3.600000000000000E+04   3.124501331458898E+27   1.597924524494554E+13   1.602866225113814E+31
  3.650000000000000E+04   3.256433645974728E+27   1.597866845979098E+13   1.602801252709147E+31
  3.700000000000000E+04   3.392025586406749E+27   1.597808375264015E+13   1.602735387925154E+31
  3.750000000000000E+04   3.531327013048583E+27   1.597749112565139E+13   1.602668631004963E+31
  3.800000000000000E+04   3.674387775135868E+27   1.597689058003474E+13   1.602600982084881E+31
  3.850000000000000E+04   3.821257710693215E+27   1.597628211680988E+13   1.602532441279767E+31
  3.900000000000000E+04   3.971986646387861E+27   1.597566573782364E+13   1.602463008797664E+31
  3.950000000000000E+04   4.126624397387730E+27   1.597504144412036E+13   1.602392684756208E+31
  4.000000000000000E+04   4.285220767203959E+27   1.597440923717394E+13   1.602321469321428E+31
  4.050000000000000E+04   4.447825547553406E+27   1.597376911868655E+13   1.602249362685069E+31
  4.100000000000000E+04   4.614488518207219E+27   1.597312109038975E+13   1.602176365042182E+31
  4.150000000000000E+04   4.785259446845632E+27   1.597246515338214E+13   1.602102476516519E+31
  4.200000000000000E+04   4.960188088903992E+27   1.597180130921042E+13   1.602027697282311E+31
