 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   2.500000000000000E-03   6.250000000000000E-04
  0.000000000000000E+00   3.141592653589793E-26   2.500000000000000E-03   6.250000000000000E-04
  1.000000000000000E-01   1.570260867949966E-05   2.497845150631994E-03   6.239230396535769E-04
  2.000000000000000E-01   8.891071451731283E-05   2.495958737805999E-03   6.229810020830113E-04
  3.000000000000000E-01   2.874314102549252E-04   2.493044535829500E-03   6.215271057629329E-04
  4.000000000000000E-01   6.734882054061499E-04   2.489018039889052E-03   6.195210802893139E-04
  5.000000000000000E-01   1.308788480943433E-03   2.483864959293533E-03   6.169585136006264E-04
  6.000000000000000E-01   2.254352833235604E-03   2.477583114047303E-03   6.138418087012331E-04
  7.000000000000000E-01   3.570345548332134E-03   2.470174307383851E-03   6.101761108859287E-04
  7.999999999999999E-01   5.315906513992442E-03   2.461642308746871E-03   6.059682856212625E-04
  8.999999999999999E-01   7.548984859421013E-03   2.451992184871628E-03   6.012265674671542E-04
  9.999999999999999E-01   1.032617461181241E-02   2.441230033565689E-03   5.959604076783134E-04
  1.100000000000000E+00   1.370255265912189E-02   2.429362863541965E-03   5.901803922756814E-04
  1.200000000000000E+00   1.773151930907510E-02   2.416398535061604E-03   5.838981880247866E-04
  1.300000000000000E+00   2.246464173522363E-02   2.402345728706991E-03   5.771265000236722E-04
  1.400000000000000E+00   2.795150060184584E-02   2.387213928327460E-03   5.698790339600623E-04
  1.500000000000000E+00   3.423954016070831E-02   2.371013411672889E-03   5.621704598332715E-04
  1.600000000000000E+00   4.137392211416657E-02   2.353755245493379E-03   5.540163755687596E-04
  1.700000000000000E+00   4.939738354082442E-02   2.335451283416056E-03   5.454332697209703E-04
  1.800000000000000E+00   5.835009918201157E-02   2.316114165674705E-03   5.364384828439035E-04
  1.900000000000001E+00   6.826954838970638E-02   2.295757320168906E-03   5.270501673109118E-04
  2.000000000000000E+00   7.919038703924058E-02   2.274394964548257E-03   5.172872454762468E-04
  2.100000000000001E+00   9.114432471319214E-02   2.252042109140393E-03   5.071693661341511E-04
  2.200000000000001E+00   1.041600074663069E-01   2.228714560611988E-03   4.967168592683889E-04
  2.300000000000001E+00   1.182629064850877E-01   2.204428926292019E-03   4.859506891072983E-04
  2.400000000000001E+00   1.334752129598399E-01   2.179202619108445E-03   4.748924055129107E-04
  2.500000000000001E+00   1.498157394914315E-01   2.153053863099672E-03   4.635640937408422E-04
  2.600000000000001E+00   1.672998283597864E-01   2.126001699464579E-03   4.519883226126280E-04
  2.700000000000001E+00   1.859392669860976E-01   2.098065993111637E-03   4.401880911451519E-04
  2.800000000000001E+00   2.057422109258612E-01   2.069267439659997E-03   4.281867736837039E-04
  2.900000000000001E+00   2.267131147349658E-01   2.039627572834085E-03   4.160080635865062E-04
  3.000000000000001E+00   2.488526710560943E-01   2.009168772178615E-03   4.036759155097725E-04
  3.100000000000001E+00   2.721577582774325E-01   1.977914271003237E-03   3.912144863438265E-04
  3.200000000000002E+00   2.966213971199146E-01   1.945888164445381E-03   3.786480748528615E-04
  3.300000000000002E+00   3.222327165127299E-01   1.913115417516270E-03   3.660010600738452E-04
  3.400000000000002E+00   3.489769291192565E-01   1.879621872968579E-03   3.532978385341910E-04
  3.500000000000002E+00   3.768353168766415E-01   1.845434258794944E-03   3.405627603534046E-04
  3.600000000000002E+00   4.057852269115041E-01   1.810580195134401E-03   3.278200643012926E-04
  3.700000000000002E+00   4.358000781912555E-01   1.775088200329160E-03   3.150938118947816E-04
  3.800000000000002E+00   4.668493792647791E-01   1.738987695837019E-03   3.024078206272543E-04
  3.900000000000002E+00   4.988987574371485E-01   1.702309009665558E-03   2.897855964388534E-04
  4.000000000000002E+00   5.319099997100438E-01   1.665083377953520E-03   2.772502655537104E-04
  4.100000000000001E+00   5.658411058018856E-01   1.627342944283027E-03   2.648245058307751E-04
  4.200000000000001E+00   6.006463535387340E-01   1.589120756264426E-03   2.525304777990421E-04
  4.300000000000001E+00   6.362763768779400E-01   1.550450758894414E-03   2.403897555756264E-04
  4.400000000000000E+00   6.726782567906244E-01   1.511367784149112E-03   2.284232578963798E-04
  4.500000000000000E+00   7.097956251855305E-01   1.471907536238181E-03   2.166511795234753E-04
  4.600000000000000E+00   7.475687820049184E-01   1.432106571915727E-03   2.050929233324216E-04
  4.699999999999999E+00   7.859348255622476E-01   1.392002275220532E-03   1.937670334219139E-04
