 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   5.000000000000000E-04   2.500000000000000E-05
  0.000000000000000E+00   6.283185307179587E-27   5.000000000000000E-04   2.500000000000000E-05
  1.000000000000000E-01   3.140814006290574E-06   4.996820392999655E-04   2.496821403989723E-05
  2.000000000000000E-01   1.778839322615238E-05   4.994638632683495E-04   2.494641507109445E-05
  3.000000000000000E-01   5.752517001097107E-05   4.991386749863284E-04   2.491394168671076E-05
  4.000000000000000E-01   1.348478008640564E-04   4.986920780437797E-04   2.486937887036232E-05
  5.000000000000000E-01   2.621958637528759E-04   4.981213904143194E-04   2.481249195882948E-05
  6.000000000000000E-01   4.519329221913884E-04   4.974258841243286E-04   2.474325101968699E-05
  7.000000000000000E-01   7.163276579704645E-04   4.966054199162353E-04   2.466169430901804E-05
  7.999999999999999E-01   1.067535093843530E-03   4.956601083760407E-04   2.456789430353484E-05
  8.999999999999999E-01   1.517577924516513E-03   4.945901975123317E-04   2.446194634752873E-05
  9.999999999999999E-01   2.078327974107431E-03   4.933960279665440E-04   2.434396404131627E-05
  1.100000000000000E+00   2.761487798237107E-03   4.920780127362922E-04   2.421407706184986E-05
  1.200000000000000E+00   3.578572448935839E-03   4.906366270872819E-04   2.407242998395845E-05
  1.300000000000000E+00   4.540891420581457E-03   4.890724031589248E-04   2.391918155316458E-05
  1.400000000000000E+00   5.659530795117646E-03   4.873859269136266E-04   2.375450417534550E-05
  1.500000000000000E+00   6.945335604836320E-03   4.855778363347663E-04   2.357858351395530E-05
  1.600000000000000E+00   8.408892431042985E-03   4.836488203263818E-04   2.339161814031007E-05
  1.700000000000000E+00   1.006051225695876E-02   4.815996180249938E-04   2.319381920818199E-05
  1.800000000000000E+00   1.191021359324597E-02   4.794310183624808E-04   2.298541013680854E-05
  1.900000000000001E+00   1.396770589457505E-02   4.771438597864296E-04   2.276662629318920E-05
  2.000000000000000E+00   1.624237328567803E-02   4.747390300814379E-04   2.253771466826644E-05
  2.100000000000001E+00   1.874325861535686E-02   4.722174662559701E-04   2.229893354372082E-05
  2.200000000000001E+00   2.147904785693182E-02   4.695801544718090E-04   2.205055214737680E-05
  2.300000000000001E+00   2.445805487362608E-02   4.668281300006873E-04   2.179285029599386E-05
  2.400000000000001E+00   2.768820656738393E-02   4.639624771973630E-04   2.152611802471136E-05
  2.500000000000001E+00   3.117702842961306E-02   4.609843294813746E-04   2.125065520273925E-05
  2.600000000000001E+00   3.493163051232196E-02   4.578948693216253E-04   2.096677113510683E-05
  2.700000000000001E+00   3.895869383809235E-02   4.546953282192002E-04   2.067478415043662E-05
  2.800000000000001E+00   4.326445726728008E-02   4.513869866846457E-04   2.037502117482446E-05
  2.900000000000001E+00   4.785470484077599E-02   4.479711742064893E-04   2.006781729199408E-05
  3.000000000000001E+00   5.273475361657798E-02   4.444492692081416E-04   1.975351528996511E-05
  3.100000000000001E+00   5.790944201832548E-02   4.408226989905591E-04   1.943246519453211E-05
  3.200000000000002E+00   6.338311871382570E-02   4.370929396581999E-04   1.910502378990468E-05
  3.300000000000002E+00   6.915963204145532E-02   4.332615160258984E-04   1.877155412690598E-05
  3.400000000000002E+00   7.524232000214981E-02   4.293300015043361E-04   1.843242501917133E-05
  3.500000000000002E+00   8.163400083449265E-02   4.253000179618147E-04   1.808801052783199E-05
  3.600000000000002E+00   8.833696419018727E-02   4.211732355600392E-04   1.773868943521123E-05
  3.700000000000002E+00   9.535296292693164E-02   4.169513725616141E-04   1.738484470810139E-05
  3.800000000000002E+00   1.026832055354187E-01   4.126361951069419E-04   1.702686295123342E-05
  3.900000000000002E+00   1.103283492168517E-01   4.082295169581900E-04   1.666513385159171E-05
  4.000000000000002E+00   1.182884936269894E-01   4.037331992079764E-04   1.630004961427075E-05
  4.100000000000001E+00   1.265631753023223E-01   3.991491499503990E-04   1.593200439061260E-05
  4.200000000000001E+00   1.351513627835208E-01   3.944793239120201E-04   1.556139369940844E-05
  4.300000000000001E+00   1.440514524507916E-01   3.897257220404014E-04   1.518861384199122E-05
  4.400000000000000E+00   1.532612650852255E-01   3.848903910477773E-04   1.481406131209109E-05
  4.500000000000000E+00   1.627780431696155E-01   3.799754229074539E-04   1.443813220136985E-05
  4.600000000000000E+00   1.725984489415680E-01   3.749829543005269E-04   1.406122160159510E-05
  4.699999999999999E+00   1.827185632110186E-01   3.699151660105266E-04   1.368372300445954E-05
  4.799999999999999E+00   1.931338849534982E-01   3.647742822636268E-04   1.330602770009441E-05
