 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  1.000000000000000E-08   0.000000000000000E+00   1.000000000000000E-03   9.999999999999999E-05
  0.000000000000000E+00   1.256637061435916E-26   1.000000000000000E-03   9.999999999999999E-05
  1.000000000000000E-01   7.289205192000998E-06   9.992038861387918E-04   9.984084060748638E-05
  2.000000000000000E-01   2.768997866358857E-05   9.987513411875342E-04   9.975042415238982E-05
  3.000000000000000E-01   9.200202633728753E-05   9.981734814837951E-04   9.963502991374801E-05
  4.000000000000000E-01   2.252462405677684E-04   9.973349377366818E-04   9.946769780302309E-05
  5.000000000000000E-01   4.523378878966404E-04   9.962125782962212E-04   9.924395011556047E-05
  6.000000000000000E-01   7.980417367806916E-04   9.947993478799286E-04   9.896257425423313E-05
  7.000000000000000E-01   1.286927260949824E-03   9.930926093291942E-04   9.862329307042674E-05
  7.999999999999999E-01   1.943323997132677E-03   9.910914158631563E-04   9.822621945976360E-05
  8.999999999999999E-01   2.791277112801441E-03   9.887956322410160E-04   9.777168023389108E-05
  9.999999999999999E-01   3.854503234507962E-03   9.862055898337530E-04   9.726014654193408E-05
  1.100000000000000E+00   5.156346585792410E-03   9.833219315891668E-04   9.669220211442501E-05
  1.200000000000000E+00   6.719735483147108E-03   9.801455351141364E-04   9.606852700041766E-05
  1.300000000000000E+00   8.567139238467917E-03   9.766774715753036E-04   9.538988834827278E-05
  1.400000000000000E+00   1.072052551659895E-02   9.729189824741883E-04   9.465713464586099E-05
  1.500000000000000E+00   1.320131819687992E-02   9.688714659733189E-04   9.387119175772881E-05
  1.600000000000000E+00   1.603035578799501E-02   9.645364686240770E-04   9.303305993058052E-05
  1.700000000000000E+00   1.922785044587438E-02   9.599156803008378E-04   9.214381132874203E-05
  1.800000000000000E+00   2.281334764490076E-02   9.550109311198955E-04   9.120458785584899E-05
  1.900000000000001E+00   2.680568655321465E-02   9.498241896334789E-04   9.021659912128949E-05
  2.000000000000000E+00   3.122296116348590E-02   9.443575618705473E-04   8.918112046620846E-05
  2.100000000000001E+00   3.608248223112071E-02   9.386132909568944E-04   8.809949099609316E-05
  2.200000000000001E+00   4.140074007249658E-02   9.325937571421603E-04   8.697311158605307E-05
  2.300000000000001E+00   4.719336827645747E-02   9.263014781192251E-04   8.580344283658613E-05
  2.400000000000001E+00   5.347510838295241E-02   9.197391095575682E-04   8.459200296497486E-05
  2.500000000000001E+00   6.025977558335677E-02   9.129094457952070E-04   8.334036562221120E-05
  2.600000000000001E+00   6.756022549767000E-02   9.058154206487603E-04   8.205015762850906E-05
  2.700000000000001E+00   7.538832208442982E-02   8.984601083109927E-04   8.072305662262006E-05
  2.800000000000001E+00   8.375490673981312E-02   8.908467243116876E-04   7.936078862168640E-05
  2.900000000000001E+00   9.266976864299936E-02   8.829786265219977E-04   7.796512548946734E-05
  3.000000000000001E+00   1.021416164054439E-01   8.748593161852380E-04   7.653788231161022E-05
  3.100000000000001E+00   1.121780510822368E-01   8.664924389588876E-04   7.508091467729217E-05
  3.200000000000002E+00   1.227855406041945E-01   8.578817859536537E-04   7.359611586710305E-05
